Masa Fragmento 1 (4He): 4.003 u
Masa Fragmento 2 (3He): 3.016 u
E1 (MeV)     E2 (MeV)     Sección Eficaz     E_rel (MeV) 
16.000000    13.988000    6.256597e-01       1.775906    
16.500000    13.562010    4.764528e-01       1.747617    
16.500000    13.562130    4.774059e-01       1.747929    
16.500000    13.562488    4.802799e-01       1.748865    
17.000000    13.135450    4.140721e-01       1.732947    
17.000000    13.135570    4.147860e-01       1.733257    
17.000000    13.135928    4.169379e-01       1.734186    
17.500000    12.707926    3.906852e-01       1.730731    
17.500000    12.708045    3.912785e-01       1.731039    
17.500000    12.708402    3.930667e-01       1.731961    
18.000000    12.279513    3.886341e-01       1.741097    
18.000000    12.279632    3.891750e-01       1.741402    
18.000000    12.279987    3.908053e-01       1.742315    
18.500000    11.850280    4.016636e-01       1.764206    
18.500000    11.850398    4.022061e-01       1.764507    
18.500000    11.850752    4.038410e-01       1.765410    
19.000000    11.420287    4.321769e-01       1.800257    
19.000000    11.420405    4.327863e-01       1.800555    
19.000000    11.420757    4.346237e-01       1.801447    
19.500000    10.989590    4.952707e-01       1.849493    
19.500000    10.989706    4.960595e-01       1.849787    
19.500000    10.990056    4.984383e-01       1.850668    
20.000000    10.558235    6.286663e-01       1.912202    
20.000000    10.558351    6.297704e-01       1.912491    
20.000000    10.558697    6.330936e-01       1.913359    
20.500000    10.126264    7.659629e-01       1.988719    
20.500000    10.126378    7.663156e-01       1.989004    
20.500000    10.126722    7.673377e-01       1.989857    
21.000000    9.693711     4.669982e-01       2.079440    
21.000000    9.693825     4.663772e-01       2.079719    
21.000000    9.694165     4.645185e-01       2.080556    
21.500000    9.260604     2.652431e-01       2.184821    
21.500000    9.260716     2.650946e-01       2.185094    
21.500000    9.261053     2.646513e-01       2.185915    
22.000000    8.826964     2.196208e-01       2.305393    
22.000000    8.827075     2.195991e-01       2.305661    
22.000000    8.827407     2.195345e-01       2.306463    
22.500000    8.392802     2.160403e-01       2.441773    
22.500000    8.392911     2.160407e-01       2.442034    
22.500000    8.393239     2.160418e-01       2.442817    
23.000000    7.958123     2.190392e-01       2.594676    
23.000000    7.958231     2.190321e-01       2.594930    
23.000000    7.958554     2.190106e-01       2.595692    
23.500000    7.522921     2.121641e-01       2.764936    
23.500000    7.523027     2.121398e-01       2.765182    
23.500000    7.523344     2.120669e-01       2.765922    
11.500000    17.610891    1.301315e-01       2.431052    
11.500000    17.611008    1.300684e-01       2.431387    
11.500000    17.611359    1.298791e-01       2.432393    
12.000000    17.203993    2.058980e-01       2.292844    
12.000000    17.204111    2.057753e-01       2.293182    
12.000000    17.204464    2.054077e-01       2.294193    
12.500000    16.794681    3.295695e-01       2.167703    
12.500000    16.794800    3.293182e-01       2.168041    
12.500000    16.795156    3.285660e-01       2.169057    
13.000000    16.383173    5.378756e-01       2.055417    
13.000000    16.383292    5.373356e-01       2.055756    
13.000000    16.383650    5.357213e-01       2.056774    
13.500000    15.969660    9.080332e-01       1.955814    
13.500000    15.969780    9.068048e-01       1.956154    
13.500000    15.970140    9.031361e-01       1.957174    
14.000000    15.554317    1.608894e+00       1.868761    
14.000000    15.554437    1.605974e+00       1.869101    
14.000000    15.554798    1.597261e+00       1.870121    
14.500000    15.137299    2.926378e+00       1.794158    
14.500000    15.137419    2.920099e+00       1.794498    
14.500000    15.137781    2.901347e+00       1.795517    
15.000000    14.718747    4.601876e+00       1.731939    
15.000000    14.718868    4.596026e+00       1.732278    
15.000000    14.719230    4.578282e+00       1.733296    
15.500000    14.298789    4.645693e+00       1.682070    
15.500000    14.298910    4.650855e+00       1.682408    
15.500000    14.299273    4.666010e+00       1.683422    
16.000000    13.877540    3.364590e+00       1.644549    
16.000000    13.877661    3.373182e+00       1.644886    
16.000000    13.878024    3.398956e+00       1.645896    
16.500000    13.455105    2.414683e+00       1.619406    
16.500000    13.455226    2.421621e+00       1.619741    
16.500000    13.455588    2.442523e+00       1.620745    
17.000000    13.031579    1.936464e+00       1.606702    
17.000000    13.031700    1.941915e+00       1.607034    
17.000000    13.032062    1.958352e+00       1.608032    
17.500000    12.607049    1.753377e+00       1.606532    
17.500000    12.607169    1.758075e+00       1.606862    
17.500000    12.607530    1.772241e+00       1.607852    
18.000000    12.181592    1.769224e+00       1.619026    
18.000000    12.181712    1.773699e+00       1.619353    
18.000000    12.182072    1.787184e+00       1.620334    
18.500000    11.755280    1.952299e+00       1.644348    
18.500000    11.755399    1.956703e+00       1.644672    
18.500000    11.755757    1.969936e+00       1.645642    
19.000000    11.328174    2.213799e+00       1.682703    
19.000000    11.328293    2.216886e+00       1.683023    
19.000000    11.328649    2.226063e+00       1.683982    
19.500000    10.900333    2.042231e+00       1.734337    
19.500000    10.900451    2.040925e+00       1.734653    
19.500000    10.900804    2.036888e+00       1.735599    
20.000000    10.471805    1.163745e+00       1.799541    
20.000000    10.471922    1.161367e+00       1.799852    
20.000000    10.472273    1.154255e+00       1.800785    
20.500000    10.042635    5.413555e-01       1.878658    
20.500000    10.042751    5.404645e-01       1.878964    
20.500000    10.043098    5.378066e-01       1.879882    
21.000000    9.612858     3.036318e-01       1.972088    
21.000000    9.612973     3.033707e-01       1.972388    
21.000000    9.613317     3.025910e-01       1.973290    
21.500000    9.182506     2.252506e-01       2.080294    
21.500000    9.182619     2.251734e-01       2.080589    
21.500000    9.182959     2.249426e-01       2.081472    
22.000000    8.751600     2.032300e-01       2.203816    
22.000000    8.751712     2.032049e-01       2.204104    
22.000000    8.752048     2.031297e-01       2.204968    
22.500000    8.320157     1.990915e-01       2.343277    
22.500000    8.320267     1.990755e-01       2.343558    
22.500000    8.320599     1.990277e-01       2.344401    
23.000000    7.888183     1.944522e-01       2.499402    
23.000000    7.888291     1.944290e-01       2.499676    
23.000000    7.888618     1.943594e-01       2.500497    
12.000000    17.066624    1.479921e-01       2.154868    
12.000000    17.066743    1.479217e-01       2.155227    
12.000000    17.067100    1.477108e-01       2.156304    
12.500000    16.660866    2.232758e-01       2.031142    
12.500000    16.660986    2.231471e-01       2.031502    
12.500000    16.661345    2.227615e-01       2.032584    
13.000000    16.252844    3.364262e-01       1.920325    
13.000000    16.252965    3.361860e-01       1.920687    
13.000000    16.253326    3.354672e-01       1.921772    
13.500000    15.842755    5.052507e-01       1.822249    
13.500000    15.842876    5.048003e-01       1.822612    
13.500000    15.843239    5.034531e-01       1.823698    
14.000000    15.430775    7.561212e-01       1.736781    
14.000000    15.430897    7.552745e-01       1.737143    
14.000000    15.431262    7.527438e-01       1.738231    
14.500000    15.017065    1.126354e+00       1.663822    
14.500000    15.017187    1.124772e+00       1.664185    
14.500000    15.017552    1.120048e+00       1.665271    
15.000000    14.601767    1.656802e+00       1.603310    
15.000000    14.601889    1.653947e+00       1.603671    
15.000000    14.602255    1.645426e+00       1.604756    
15.500000    14.185012    2.352538e+00       1.555211    
15.500000    14.185134    2.347837e+00       1.555571    
15.500000    14.185501    2.333808e+00       1.556653    
16.000000    13.766919    3.103496e+00       1.519527    
16.000000    13.767041    3.096963e+00       1.519886    
16.000000    13.767407    3.077442e+00       1.520963    
16.500000    13.347594    3.669961e+00       1.496288    
16.500000    13.347716    3.662616e+00       1.496646    
16.500000    13.348082    3.640615e+00       1.497717    
17.000000    12.927135    3.857614e+00       1.485561    
17.000000    12.927257    3.850495e+00       1.485916    
17.000000    12.927622    3.829117e+00       1.486981    
17.500000    12.505631    3.644547e+00       1.487443    
17.500000    12.505753    3.637819e+00       1.487795    
17.500000    12.506117    3.617610e+00       1.488851    
18.000000    12.083163    3.087128e+00       1.502065    
18.000000    12.083284    3.080895e+00       1.502414    
18.000000    12.083647    3.062220e+00       1.503461    
18.500000    11.659802    2.300621e+00       1.529596    
18.500000    11.659922    2.295649e+00       1.529942    
18.500000    11.660283    2.280794e+00       1.530979    
19.000000    11.235615    1.511690e+00       1.570245    
19.000000    11.235734    1.508570e+00       1.570587    
19.000000    11.236093    1.499261e+00       1.571612    
19.500000    10.810660    9.197087e-01       1.624262    
19.500000    10.810779    9.181195e-01       1.624599    
19.500000    10.811135    9.133775e-01       1.625611    
20.000000    10.384989    5.585784e-01       1.691942    
20.000000    10.385107    5.578578e-01       1.692275    
20.000000    10.385461    5.557059e-01       1.693272    
20.500000    9.958648     3.632869e-01       1.773634    
20.500000    9.958765     3.629712e-01       1.773961    
20.500000    9.959116     3.620278e-01       1.774942    
21.000000    9.531677     2.647063e-01       1.869743    
21.000000    9.531793     2.645653e-01       1.870064    
21.000000    9.532140     2.641436e-01       1.871028    
21.500000    9.104107     2.176350e-01       1.980739    
21.500000    9.104222     2.175671e-01       1.981054    
21.500000    9.104565     2.173636e-01       1.981999    
22.000000    8.675965     1.956851e-01       2.107169    
22.000000    8.676078     1.956449e-01       2.107477    
22.000000    8.676417     1.955244e-01       2.108402    
22.500000    8.247268     1.825239e-01       2.249664    
22.500000    8.247379     1.824902e-01       2.249965    
22.500000    8.247713     1.823891e-01       2.250868    
12.500000    16.526237    1.567861e-01       1.899431    
12.500000    16.526358    1.567150e-01       1.899813    
12.500000    16.526721    1.565019e-01       1.900960    
13.000000    16.121737    2.246881e-01       1.790135    
13.000000    16.121859    2.245669e-01       1.790518    
13.000000    16.122224    2.242039e-01       1.791669    
13.500000    15.715106    3.182100e-01       1.693630    
13.500000    15.715228    3.180048e-01       1.694014    
13.500000    15.715595    3.173905e-01       1.695167    
14.000000    15.306525    4.422754e-01       1.609785    
14.000000    15.306647    4.419366e-01       1.610170    
14.000000    15.307015    4.409230e-01       1.611323    
14.500000    14.896155    5.992250e-01       1.538505    
14.500000    14.896278    5.986845e-01       1.538890    
14.500000    14.896647    5.970678e-01       1.540043    
15.000000    14.484144    7.860379e-01       1.479728    
15.000000    14.484268    7.852120e-01       1.480112    
15.000000    14.484637    7.827431e-01       1.481263    
15.500000    14.070626    9.897613e-01       1.433423    
15.500000    14.070749    9.885700e-01       1.433806    
15.500000    14.071119    9.850103e-01       1.434954    
16.000000    13.655720    1.182883e+00       1.399594    
16.000000    13.655843    1.181292e+00       1.399976    
16.000000    13.656213    1.176540e+00       1.401119    
16.500000    13.239536    1.324563e+00       1.378275    
16.500000    13.239659    1.322635e+00       1.378655    
16.500000    13.240029    1.316880e+00       1.379793    
17.000000    12.822176    1.373269e+00       1.369534    
17.000000    12.822298    1.371187e+00       1.369911    
17.000000    12.822667    1.364971e+00       1.371041    
17.500000    12.403729    1.308485e+00       1.373470    
17.500000    12.403851    1.306500e+00       1.373844    
