#Z   A   Spin   Magnetic moment (µN)   g-factor
69   168   3.0   0.227   0.07566666666666667
69   169   0.5   -0.231   -0.462
69   170   1.0   0.246   0.246
69   171   0.5   -0.228   -0.456
70   155   3.5   -0.84   -0.24
70   157   3.5   -0.639   -0.18257142857142858
70   159   2.5   -0.368   -0.1472
70   161   1.5   -0.327   -0.218
70   163   1.5   -0.374   -0.24933333333333332
70   165   2.5   0.478   0.19119999999999998
70   167   2.5   0.623   0.2492
70   169   3.5   -0.635   -0.18142857142857144
70   170   2.0   0.674   0.337
70   171   0.5   0.49367   0.98734
70   172   4.0   -2.3   -0.575
70   173   2.5   -0.648   -0.2592
70   174   2.0   0.676   0.338
70   175   3.5   0.768   0.21942857142857145
70   176   2.0   0.68   0.34
71   169   3.5   2.297   0.6562857142857144
71   171   3.5   2.305   0.6585714285714286
71   172   4.0   2.893   0.72325
71   173   3.5   2.28   0.6514285714285714
71   174   1.0   1.9   1.9
71   175   3.5   2.2323   0.6378
71   176   7.0   3.169   0.45271428571428574
71   177   3.5   2.239   0.6397142857142857
72   173   11.5   6.6   0.5739130434782609
72   174   6.0   5.42   0.9033333333333333
72   175   2.5   -0.62   -0.248
72   176   2.0   0.63   0.315
72   177   3.5   0.7935   0.2267142857142857
72   178   2.0   0.48   0.24
72   179   4.5   -0.6409   -0.14242222222222223
72   180   2.0   0.61   0.305
73   171   4.5   3.1   0.69
73   173   2.5   1.7   0.6799999999999999
73   175   3.5   2.27   0.6485714285714286
73   177   3.5   2.25   0.6428571428571429
73   178   1.0   2.74   2.74
73   179   3.5   2.289   0.654
73   180   9.0   4.825   0.5361111111111111
73   181   3.5   2.3705   0.6772857142857143
73   182   3.0   3.02   1.0066666666666666
73   183   3.5   2.36   0.674
74   178   2.0   0.5   0.25
74   179   17.5   7   0.4
74   180   2.0   0.51   0.255
74   182   2.0   0.52   0.26
74   183   0.5   0.11778476   0.23556952
74   184   2.0   0.578   0.289
74   186   2.0   0.62   0.31
74   187   1.5   0.621   0.414
75   179   2.5   2.8   1.1199999999999999
75   180   1.0   1.6   1.6
75   181   2.5   3.19   1.276
75   182   7.0   2.84   0.4057142857142857
75   183   2.5   3.168   1.2672
75   184   3.0   2.53   0.843
75   185   2.5   3.1871   1.27484
75   186   1.0   1.739   1.739
75   187   2.5   3.2197   1.28788
75   188   1.0   1.788   1.788
76   182   25.0   10.6   0.424
76   183   4.5   -0.794   0.176
76   184   2.0   -2.4   -1.2
76   186   2.0   0.56   0.28
76   187   0.5   0.06465189   0.12930378
76   188   2.0   0.58   0.29
76   189   1.5   0.659933   0.4399553333333333
76   190   2.0   0.7   0.35
76   191   4.5   0.96   0.21333333333333332
76   192   2.0   0.79   0.395
76   193   1.5   0.73   0.48666666666666664
77   183   2.5   2.36   0.944
77   184   5.0   0.696   0.1392
77   185   2.5   2.605   1.042
77   186   5.0   3.88   0.776
77   187   1.5   0.941   0.6273333333333333
77   188   1.0   0.302   0.302
77   189   1.5   0.13   0.08666666666666667
77   190   4.0   0.04   0.01
77   191   1.5   0.1507   0.10046666666666666
77   192   4.0   1.924   0.481
77   193   1.5   0.1637   0.10913333333333335
77   194   1.0   0.39   0.39
78   183   0.5   0.51   1.02
78   184   2.0   0.56   0.28
78   185   4.5   0.774   0.17200000000000001
78   186   2.0   0.54   0.27
78   187   1.5   0.408   0.27199999999999996
78   188   2.0   0.58   0.29
78   189   1.5   -0.421   -0.2806666666666667
78   190   2.0   0.57   0.285
78   191   1.5   -0.501   -0.334
78   192   2.0   0.57   0.285
78   193   0.5   0.603   1.206
78   194   2.0   0.6   0.3
78   195   0.5   0.60952   1.21904
78   196   2.0   0.59   0.295
78   197   0.5   0.51   1.02
78   198   2.0   0.63   0.315
79   183   2.5   1.97   0.788
79   184   5.0   2.07   0.414
79   185   2.5   2.17   0.868
79   186   3.0   -1.28   -0.4266666666666667
79   187   0.5   0.535   1.07
79   188   1.0   -0.07   -0.07
79   189   0.5   0.494   0.988
79   190   1.0   -0.065   -0.065
79   191   1.5   0.1369   0.09126666666666666
79   192   1.0   -0.0107   -0.0107
79   193   1.5   0.1396   0.09306666666666667
79   194   1.0   0.0763   0.0763
79   195   1.5   0.1487   0.09913333333333334
79   196   2.0   0.58   0.29
79   197   1.5   0.145746   0.09716399999999999
79   198   2.0   0.64   0.32
79   199   1.5   0.261   0.17400000000000002
79   200   12.0   5.9   0.4916666666666667
80   181   0.5   0.5071   1.0142
80   183   0.5   0.524   1.048
80   185   0.5   0.509   1.018
80   187   6.5   -1.044   -0.16061538461538463
80   188   12.0   -2.02   -0.16833333333333333
80   189   1.5   -0.6086   -0.40573333333333333
80   190   12.0   -2.5   -0.20833333333333334
80   191   1.5   -0.618   -0.412
80   193   1.5   -0.6276   -0.41840000000000005
80   195   0.5   0.5414749   1.0829498
80   196   7.0   -0.29   -0.041428571428571426
80   197   0.5   0.5273744   1.0547488
80   198   2.0   0.76   0.38
80   199   0.5   0.5058855   1.011771
80   200   2.0   0.65   0.325
80   201   1.5   -0.5602257   -0.37348380000000003
80   202   2.0   0.78   0.39
80   203   2.5   0.84895   0.33958
80   204   2.0   0.9   0.45
80   205   0.5   0.60089   1.20178
80   206   5.0   5.45   1.09
81   187   0.5   1.55   3.1
81   188   7.0   0.483   0.06899999999999999
81   189   4.5   3.878   0.8617777777777778
81   190   2.0   0.254   0.127
81   191   0.5   1.588   3.176
81   192   2.0   0.2   0.1
81   193   0.5   1.591   3.182
81   194   2.0   0.14   0.07
81   195   0.5   1.58   3.16
81   196   2.0   0.072   0.036
81   197   0.5   1.58   3.16
81   198   2.0   0.0   0.0
81   199   0.5   1.6   3.2
81   200   2.0   0.04   0.02
81   201   0.5   1.605   3.21
81   202   2.0   0.06   0.03
81   203   0.5   1.62225787   3.24451574
81   204   2.0   0.09   0.045
81   205   0.5   1.63821461   3.27642922
81   206   5.0   4.27   0.8539999999999999
81   207   0.5   1.876   3.752
81   208   5.0   0.292   0.058399999999999994
82   191   6.5   -1.172   -0.1803076923076923
82   193   6.5   -1.15   -0.1769230769230769
82   194   9.0   -0.6   -0.06666666666666667
82   195   6.5   -1.128   -0.17353846153846153
82   196   5.0   0.49   0.098
82   197   1.5   -1.075   -0.7166666666666667
82   198   5.0   0.38   0.076
82   199   1.5   -1.0742   -0.7161333333333334
82   200   7.0   -0.21   -0.03
82   201   2.5   0.6753   0.27012
82   202   4.0   0.008   0.002
82   203   2.5   0.6864   0.27456
82   204   2.0   0.02   0.01
82   205   2.5   0.7117   0.28468
82   206   2.0   0.03   0.015
